,TOK,SHOT,GROUP,CONFIG,IP,BT,NEL,RGEO,AMIN,KAREA,EPSILON,DELTA,DELTAU,DELTAL,MEFF,POHM,PNBI,PECRH,PICRH,PLTH,PRAD,TAUTH,TAU98Y2,HIPB98Y2,TAU20,H20,IPN,qCYL,GWF,HIGHZ,COAT,PFIN,PRFN,PLH,SELDB5,STD3,DB2P8,AUXHEAT,PHASE,HYBRID,ITB,ITBTYPE,ELMTYPE
8730,JET,46965,MODERN,SN(L),2.4899999999999998,2.457,5.119,2.919,0.9426,1.561309761,0.32291880781089416,0.2507,0.2392,0.2621,1.985,0.3822,11.379999999999999,0.0,0.0,11.18,3.453,0.4839,0.38316410780269633,1.262905345,0.3461308066697454,1.3980263838858604,1.0751442960227173,2.3446912591674067,0.5738396143986606,0,1,1.607886618856567,0.0,7.077613475067524,1,1.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-I
8731,JET,46965,MODERN,SN(L),2.4819999999999998,2.469,5.7909999999999995,2.906,0.9361,1.512362822,0.32212663454920853,0.1948,0.1692,0.2203,1.987,0.4191,11.549999999999999,0.0,0.0,11.28,2.639,0.4461,0.385969408029224,1.155791083,0.33634538243766754,1.326315220286018,1.0738866462887804,2.26826708271218,0.6423121703040079,0,1,1.4944349903678926,0.0,7.728673428046995,1,1.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-I
8733,JET,46967,MODERN,SN(L),2.4659999999999997,2.484,3.3409999999999997,2.891,0.9646,1.515136182,0.33365617433414047,0.229,0.2286,0.2294,1.979,1.333,10.26,0.0,0.0,11.33,6.803999999999999,0.274,0.3088791465065518,0.887078338,0.2966161968303976,0.9237526572315627,1.0291868372262136,2.4559901263595365,0.39602973141834674,0,1,1.9751932782941939,0.0,5.194428369491358,1,0.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-III
8735,JET,46971,MODERN,SN(L),2.484,2.477,3.8249999999999997,2.9,0.9584,1.528518108,0.33048275862068965,0.236,0.2337,0.2382,1.991,0.4546,10.82,0.0,0.0,11.219999999999999,4.4399999999999995,0.3587,0.3336452740955305,1.075093903,0.3142566762895623,1.1414236420851305,1.0463543397251376,2.4138518939301803,0.4443481033486705,0,1,1.8953755309285267,0.0,5.708631257204942,1,0.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-III
8738,JET,46978,MODERN,SN(L),2.4819999999999998,2.477,6.85,2.899,0.9414,1.502739099,0.3247326664367023,0.1907,0.17,0.2114,1.978,0.6335,11.49,0.0,0.0,11.85,3.6279999999999997,0.3896,0.397488515806328,0.980154104,0.33615477881856204,1.1589899193736728,1.064391938444696,2.292334510208772,0.7683994670414934,0,1,1.2905620848179888,0.0,8.903097445033389,1,0.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-I
8739,JET,46980,MODERN,SN(L),2.477,2.489,6.887,2.887,0.9539,1.481846104,0.330412192587461,0.1834,0.1706,0.1962,1.977,0.8595999999999999,11.44,0.0,0.0,12.01,7.024,0.3386,0.39066028650656065,0.866737705,0.32846344291150276,1.030860533515227,1.0432737044358,2.3465559335870165,0.7948032726380361,0,1,1.2630816671435445,0.0,9.057213240907474,1,0.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-III
8744,JET,47274,MODERN,SN(L),1.3159999999999998,1.367,2.912,2.938,0.9291,1.572449119,0.3162355343771273,0.2743,0.2625,0.2861,1.983,0.1671,12.02,0.0,0.0,11.15,2.6959999999999997,0.147,0.1550949492843206,0.947806493,0.14479161408268362,1.0152521672702348,1.0361554475675816,2.39956412232912,0.6000815499712474,0,1,4.178641288792367,0.0,2.8765331047293117,1,1.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-I
8745,JET,47274,MODERN,SN(L),1.308,1.37,2.63,2.941,0.9221,1.574729005,0.31353281196871813,0.2656,0.2469,0.2844,1.983,0.1936,8.286999999999999,0.0,0.0,7.787,1.857,0.1983,0.18919830285202136,1.048106653,0.17827186965793623,1.1123459936808497,1.0354023701848445,2.3842383755515693,0.5370984774346558,0,1,3.134327176731363,0.0,2.6439486156777376,1,1.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-I
8746,JET,47274,MODERN,SN(L),1.307,1.372,2.404,2.937,0.9273,1.566058356,0.3157303370786517,0.2607,0.242,0.2794,1.983,0.20179999999999998,7.112,0.0,0.0,6.744,1.7089999999999999,0.2011,0.20068803806311433,1.002052748,0.19094176811774122,1.053200679884743,1.02730929225228,2.4065397653547884,0.49687742779077315,0,1,2.8706099276580503,0.0,2.4775222615502597,1,1.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-I
8747,JET,47274,MODERN,SN(L),1.304,1.374,2.412,2.937,0.9266,1.569229007,0.31549199863806604,0.2563,0.237,0.2757,1.984,0.2636,4.813,0.0,0.0,4.45,1.21,0.2933,0.26754758910137294,1.096253571,0.2520385727853006,1.1637107636292163,1.0242325246609114,2.416830084082526,0.4989237483707454,0,1,1.9378507704122059,0.0,2.483679380005207,1,1.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-I
